article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,event_type
Illinois fines BCBS $339K after Springfield Clinic contract termination,2022-03-21T20:40:13-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/illinois-fines-bcbs-339k-after-springfield-clinic-contract-termination,1,Resolved,Springfield Clinic,BCBS of Illinois,,,2021-11-01,IL,,Termination of contract,,"BCBS of Illinois terminated its contract with Springfield Clinic in November 2021. The Illinois Department of Insurance fined BCBS $339,000 for failing to file updated network adequacy filings after the termination.",exit,provider_payer_exit
"7 recent payer contract disputes, resolutions",2022-03-04T22:25:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/7-recent-payer-contract-disputes-resolutions-2,1,Active Exit,University of Vermont Medicine Health Network,UnitedHealthcare,Commercial,,2022-04-01,,Burlington,Administrative and operational hurdles,"About 3,000 commercial patients could be affected","University of Vermont Medicine Health Network intends to end its contract with UnitedHealthcare due to administrative and operational hurdles. The termination is slated for April 1, affecting about 3,000 commercial patients in Burlington.",exit,provider_payer_exit
"7 recent payer contract disputes, resolutions",2022-03-04T22:25:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/7-recent-payer-contract-disputes-resolutions-2,2,Active Exit,Memorial Hermann,BlueCross BlueShield of Texas,Commercial,,2022-02-28,,,Failed to renew network contract,"Forcing the region’s largest health system out of network for 100,000 members","BlueCross BlueShield of Texas and Memorial Hermann failed to renew their network contract on February 28, which forced Memorial Hermann out of network for 100,000 members. The parties had been negotiating since November over reimbursement rates.",exit,provider_payer_exit
"BCBS of Minnesota, pain clinic at odds on patient safety review, contract termination",2022-01-19T17:07:07-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/bcbs-of-minnesota-pain-clinic-at-odds-on-patient-safety-review-contract-termination,1,Active Exit,Center for Pain Management,Blue Cross and Blue Shield of Minnesota,,,2022-10-01,MN,,Contract termination due to review of medical records and practices.,About 15 percent of Center for Pain Management patients are Blue Cross and Blue Shield of Minnesota members.,"Blue Cross and Blue Shield of Minnesota terminated its contract with the Center for Pain Management effective October 1, 2022, after a review of medical records and practices. This impacts approximately 15 percent of the clinic's patients who are members of the insurer.",exit,provider_payer_exit
"7 recent payer legal disputes, settlements",2022-01-13T17:11:24-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/7-recent-payer-legal-disputes-settlements,1,Planned Exit,Northside Hospital System,Anthem,,,2022-01-31,GA,Atlanta,Anthem filed motions to terminate its contract with Northside Hospital System.,"Affecting 400,000 patients.","Anthem is seeking to terminate its contract with Northside Hospital System, which is currently in effect until January 31, 2022. This planned exit will impact approximately 400,000 patients in Atlanta, Georgia.",exit,provider_payer_exit
Anthem files to overturn order temporarily extending Northside network contract,2022-01-11T22:04:48-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/anthem-files-to-overturn-order-temporarily-extending-northside-network-contract,1,Planned Exit,Northside,Anthem,Unknown,,2022-02-01,GA,,Anthem seeks to terminate the network contract with Northside.,"More than 400,000 Anthem patients will be immediately separated from their Northside doctors.","Anthem is attempting to overturn a court order that extends its network agreement with Northside until February 1. If successful, this will result in over 400,000 Anthem patients losing in-network access to Northside hospitals and clinics.",exit,provider_payer_exit
Aetna in the headlines: 5 recent stories,2022-01-04T18:54:24-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-in-the-headlines-5-recent-stories,1,Active Exit,Aetna,Alliance,,,,,New York City,Aetna will lose out on the contract to Alliance.,,"A judge conditionally approved changes to New York City's retiree health plan, confirming that Aetna will lose its contract to Alliance. The ruling sets a timeline and options for retirees to change their insurance.",exit,provider_payer_exit
Minnesota Medicaid to drop for-profit carriers,2024-05-28T21:09:03-05:00,policy_updates,Beckers Payer,https://www.beckerspayer.com/policy-updates/minnesota-medicaid-to-drop-for-profit-carriers,1,Planned Exit,,UnitedHealthcare,Medicaid,,,MN,,The current contract ends this year.,"Nearly 32,000 Medicaid enrollees will be affected.","UnitedHealthcare will exit the Minnesota Medicaid market as its current contract ends this year, impacting nearly 32,000 enrollees.",exit,payer_market_exit
"AHIP, health systems on opposite sides of No Surprises Act debate",2023-09-20T21:56:34-05:00,policy_updates,Beckers Payer,https://www.beckerspayer.com/policy-updates/ahip-health-systems-on-opposite-sides-of-no-surprises-act-debate,1,Active Exit,Wellstar Health System,large health insurers,,,,,"Marietta, Ga.",Insurers refuse to negotiate and insist on going out of network.,,"Wellstar Health System has experienced actions by large health insurers who refuse to negotiate, leading to them going out of network. This situation highlights issues with the No Surprises Act implementation.",exit,provider_payer_exit
Mississippi amendment to bar Centene from Medicaid contract picks up steam,2022-02-11T17:26:50-06:00,policy_updates,Beckers Payer,https://www.beckerspayer.com/policy-updates/mississippi-amendment-to-bar-centene-from-medicaid-contract-picks-up-steam,1,Planned Exit,,Centene,Medicaid,,,MS,,Legislation to end the state’s relationship with Centene.,,"Legislation has been filed to effectively end Mississippi's relationship with Centene for Medicaid administration. The House passed the bill with strong momentum, and it is currently under deliberation.",exit,payer_market_exit
"'Calm urgency': How 1 Louisiana CFO tackles transportation, payer pressure and margins",2026-03-05T16:15:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/calm-urgency-how-1-louisiana-cfo-tackles-transportation-payer-pressure-and-margins/,1,Planned Exit,,UnitedHealthcare,Medicaid,,2026-03-31,LA,,UnitedHealthcare is exiting Louisiana’s Medicaid managed care program.,"Patients will need to select new coverage, creating uncertainty around potential uncompensated care.","UnitedHealthcare is set to exit Louisiana’s Medicaid managed care program on March 31, 2026. This exit will force patients to select new coverage, leading to uncertainty regarding potential uncompensated care.",exit,payer_market_exit
The 'death spiral' facing some Pennsylvania hospitals,2026-03-05T08:39:24-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/a-death-spiral-why-pennsylvania-hospitals-are-struggling-to-stay-open/,1,Active Exit,Community Health Systems,,Unknown,,2026-02-01,PA,,,,"Community Health Systems exited Pennsylvania on February 1, 2026, leading to the acquisition of three hospitals by Tenor Health Foundation.",exit,provider_market_exit
Why CommonSpirit is exiting Conifer,2026-03-03T15:39:54-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/why-commonspirit-is-exiting-conifer/,1,Planned Exit,CommonSpirit,Conifer Health Solutions,,,2026-01-01,,Chicago,CommonSpirit is insourcing revenue cycle operations and exiting its ownership stake in Conifer Health Solutions.,,"CommonSpirit is exiting its ownership stake in Conifer Health Solutions, effective January 1, 2026. This decision aligns with their strategies to improve operational integration and efficiency. The exit involves a financial agreement where CommonSpirit will pay Tenet Healthcare approximately $1.9 billion.",exit,provider_payer_exit
‘We’re running in when others are running out’: Stability drives record growth for regional Medicare Advantage plans,2026-03-03T13:48:03-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/were-running-in-when-others-are-running-out-stability-drives-record-growth-for-regional-medicare-advantage-plans/,1,Active Exit,,UnitedHealthcare,Medicare Advantage,,,WI,,Insurer market exits,"More than 20,000 of the plan’s new members came from UnitedHealthcare alone.","UnitedHealthcare is experiencing a market exit in Medicare Advantage, leading to a significant number of enrollees switching plans. This has contributed to a dramatic reshuffling in the market.",exit,payer_market_exit
‘We’re running in when others are running out’: Stability drives record growth for regional Medicare Advantage plans,2026-03-03T13:48:03-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/were-running-in-when-others-are-running-out-stability-drives-record-growth-for-regional-medicare-advantage-plans/,2,Active Exit,,Elevance Health,Medicare Advantage,,,,,Insurer market exits,,"Elevance Health has also exited the Medicare Advantage market, contributing to the overall decline in enrollment for national payers.",exit,payer_market_exit
‘We’re running in when others are running out’: Stability drives record growth for regional Medicare Advantage plans,2026-03-03T13:48:03-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/were-running-in-when-others-are-running-out-stability-drives-record-growth-for-regional-medicare-advantage-plans/,3,Active Exit,,Aetna,Medicare Advantage,,,,,Insurer market exits,,"Aetna's exit from the Medicare Advantage market has been noted, adding to the trend of national payers shedding members.",exit,payer_market_exit
Aspirus blocked from enrolling Medicare Advantage members as UCare fallout spreads,2026-02-26T17:01:11-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/aspirus-blocked-from-enrolling-medicare-advantage-members-as-ucare-fallout-spreads/,1,Active Exit,,UCare,Medicare Advantage,,2026-01-20,WI,,UCare was ordered into rehabilitation due to major financial issues.,"Affects 158,000 people.","UCare exited the Medicare Advantage market for 2026 after being ordered into rehabilitation due to financial issues, affecting 158,000 members.",exit,payer_market_exit
Aspirus blocked from enrolling Medicare Advantage members as UCare fallout spreads,2026-02-26T17:01:11-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/aspirus-blocked-from-enrolling-medicare-advantage-members-as-ucare-fallout-spreads/,2,Active Exit,Aspirus Health Plan,,Medicare Advantage,,,WI,,CMS suspended new Medicare Advantage enrollment due to UCare's issues.,"Currently has more than 6,000 MA members.","Aspirus Health Plan has been barred from enrolling new Medicare Advantage members due to issues with its third-party administrator, UCare, which is undergoing rehabilitation.",exit,provider_market_exit
How CHS is using AI and ERP to protect margins,2026-02-24T08:42:52-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/how-chs-is-using-ai-and-erp-to-protect-margins/,1,Active Exit,Community Health Systems,,,,,,,Divestitures of hospitals,Sold roughly 35% of its hospital portfolio,Community Health Systems has sold approximately 35% of its hospital portfolio over the past several years. This divestiture is part of a strategy to reshape its operations while maintaining net revenue levels near pre-divestiture figures.,exit,provider_market_exit
Medicare Advantage's 'sunk-cost' problem,2026-02-20T08:39:33-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/medicare-advantages-sunk-cost-problem/,1,Active Exit,Scripps Health,Medicare Advantage,Medicare Advantage,,2024-01-01,,San Diego,"Losing about $75 million a year on those contracts, and the payers weren’t willing to negotiate the changes needed.","Affected roughly 32,000 beneficiaries across five health plans.","Scripps Health exited nearly all of its commercial Medicare Advantage contracts on January 1, 2024, affecting approximately 32,000 beneficiaries. The decision was driven by significant financial losses and lack of negotiation from payers.",exit,provider_payer_exit
Medicare Advantage's 'sunk-cost' problem,2026-02-20T08:39:33-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/medicare-advantages-sunk-cost-problem/,2,Active Exit,Providence Clinical Network,UnitedHealthcare,Medicare Advantage,,,CA,,Not seeing fair performance in how they are paid for the care provided.,,Providence Clinical Network went out of network with UnitedHealthcare Medicare Advantage due to dissatisfaction with payment performance and administrative burdens.,exit,provider_payer_exit
Medicare Advantage's 'sunk-cost' problem,2026-02-20T08:39:33-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/medicare-advantages-sunk-cost-problem/,3,Active Exit,Mayo Clinic,,Medicare Advantage,,2023-11-05,MN,,Adopted a more selective approach to contracting.,,Mayo Clinic ended contracts with most Humana and UnitedHealthcare Medicare Advantage plans as part of a more selective strategy.,exit,provider_market_exit
Ascension trims losses as CEO eyes 'more predictable' operating model,2026-02-13T14:59:11-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/ascension-trims-losses-as-ceo-eyes-more-predictable-operating-model/,1,Resolved,Ascension,,Multiple,,,,,Reshaping its portfolio and operating model through strategic divestitures and market exits.,,Ascension has reduced its hospital portfolio from roughly 140 hospitals to 90 wholly owned or consolidated hospitals as part of its strategic divestitures and market exits.,exit,provider_market_exit
Why Scripps Health's Medicare Advantage exit paid off,2026-02-12T16:03:56-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/why-scripps-healths-medicare-advantage-exit-paid-off/,1,Resolved,Scripps Health,,Medicare Advantage,,2024-01-01,,San Diego,Financial losses of about $75 million a year on Medicare Advantage contracts.,"About 32,000 Medicare Advantage beneficiaries were affected.","Scripps Health exited nearly all of its commercial Medicare Advantage contracts on January 1, 2024, due to unsustainable financial losses. The decision impacted approximately 32,000 beneficiaries, but Scripps reported that the transition to traditional Medicare was manageable and did not result in a significant dip in patient volume.",exit,provider_market_exit
Why Scripps Health's Medicare Advantage exit paid off,2026-02-12T16:03:56-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/why-scripps-healths-medicare-advantage-exit-paid-off/,2,Active Exit,Scripps Health,Anthem,,,2024-12-31,,,Contract expired and parties are not currently contracted.,,"Scripps Health's contract with Anthem expired at the end of 2024, and as of the report, the parties are not contracted, although negotiations are ongoing.",exit,provider_payer_exit
How Tenet is positioning Conifer to 'be more competitive',2026-02-12T09:22:34-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/how-tenet-is-positioning-conifer-to-be-more-competitive/,1,Active Exit,Tenet Healthcare,CommonSpirit,,,2026-02-02,,,CommonSpirit exited the partnership with Tenet Healthcare.,,"Tenet Healthcare announced on February 2, 2026, that it is regaining full ownership of Conifer Health Solutions as CommonSpirit exits the partnership. This move is aimed at lowering costs and enhancing competitiveness.",exit,provider_payer_exit
'Our portfolio of businesses is now more predictable': Tenet CEO,2026-02-12T08:21:12-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/our-portfolio-of-businesses-is-now-more-predictable-tenet-ceo/,1,Active Exit,Tenet Healthcare,,ACA,,,,,Expiration of enhanced premium tax credits,$250 million impact to adjusted EBITDA,"Tenet Healthcare is experiencing a projected 20% reduction in ACA exchange enrollment due to the expiration of enhanced premium tax credits, which is expected to pressure hospital earnings and the company's payer mix. This change is anticipated to have a $250 million impact on their adjusted EBITDA in 2026.",exit,provider_market_exit
"Cigna to cut 2,000 jobs",2026-02-10T10:20:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cigna-to-cut-2000-jobs/,1,Resolved,,Cigna,Medicare,,2025-01-01,"AZ,NJ",,Sale of Cigna’s Medicare business to Health Care Service Corp.,"Total medical membership stands at 18.1 million, down 5% year over year.","Cigna exited the Medicare market by selling its Medicare business to Health Care Service Corp. in early 2025. This decision contributed to a 5% decline in total medical membership, which now stands at 18.1 million.",exit,payer_market_exit
'Sometimes these things defy all business logic': Inside the calculus of going out-of-network,2026-02-05T16:29:50-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/sometimes-these-things-defy-all-business-logic-inside-the-calculus-of-going-out-of-network/,1,Planned Exit,Mount Sinai,Anthem,Commercial,,2026-03-01,,New York City,Contract negotiations failed due to rate disputes.,"200,000 commercial patients affected annually.","Mount Sinai's physicians went out-of-network with Anthem at the start of 2026, with facilities set to follow in March. This decision was driven by failed contract negotiations over rate disputes, impacting approximately 200,000 commercial patients in New York City.",exit,provider_payer_exit
'Sometimes these things defy all business logic': Inside the calculus of going out-of-network,2026-02-05T16:29:50-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/sometimes-these-things-defy-all-business-logic-inside-the-calculus-of-going-out-of-network/,2,Active Exit,,UnitedHealthcare,Commercial,,,,Baltimore,Negotiations ended without a new deal.,,"Johns Hopkins Medicine ended negotiations with UnitedHealthcare without reaching a new deal in September, indicating a potential exit from the market.",exit,payer_market_exit
"Conifer investment push will go beyond AI, Tenet CEO says",2026-02-03T09:08:11-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/conifer-investment-push-will-go-beyond-ai-tenet-ceo-says/,1,Active Exit,Conifer Health Solutions,CommonSpirit,,,2026-01-01,,,CommonSpirit is exiting the partnership with Conifer Health Solutions.,,"CommonSpirit is exiting its partnership with Conifer Health Solutions, with an agreement for Conifer to continue providing services through the end of 2026. The effective date of the exit is January 1, 2026.",exit,provider_payer_exit
Ascension CEO 'taking a closer look' at Medicare Advantage plans,2026-02-02T09:49:20-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/ascension-ceo-taking-a-closer-look-at-medicare-advantage-plans/,1,Active Exit,Ascension Wisconsin,UnitedHealthcare,Medicare Advantage,,2023-10-15,WI,,Negotiation challenges and excessive prior authorization denial rates.,Significant number of patients enrolled in UnitedHealthcare’s Medicare Advantage plan.,"Ascension Wisconsin went out of network with UnitedHealthcare due to challenges in contract negotiations and high denial rates. This decision was made before reaching a new deal in mid-October 2023, impacting many patients enrolled in the Medicare Advantage plan.",exit,provider_payer_exit
Tenet regains full ownership of Conifer,2026-02-02T09:12:33-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/tenet-regains-full-ownership-of-conifer/,1,Active Exit,Conifer Health Solutions,CommonSpirit,,,2026-01-01,,,CommonSpirit exits the partnership with Conifer Health Solutions.,,"CommonSpirit is exiting its partnership with Conifer Health Solutions, effective January 1, 2026. CommonSpirit will pay approximately $1.9 billion to Tenet, while Conifer will redeem its equity stake from CommonSpirit for about $540 million.",exit,provider_payer_exit
Providence CEO calls for Medicare Advantage 'reset' amid wave of network exits,2026-01-27T16:20:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-ceo-calls-for-medicare-advantage-reset-amid-wave-of-network-exits/,1,Active Exit,Providence Clinical Network,UnitedHealthcare,Medicare Advantage,,,,California,Contract dispute over inadequate reimbursement.,,Providence Clinical Network has gone out of network with UnitedHealthcare Medicare Advantage due to contract disputes over reimbursement rates. This decision reflects a broader trend among health systems pushing back against commercial payers.,exit,provider_payer_exit
Providence CEO calls for Medicare Advantage 'reset' amid wave of network exits,2026-01-27T16:20:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-ceo-calls-for-medicare-advantage-reset-amid-wave-of-network-exits/,2,Active Exit,Mayo Clinic,"UnitedHealthcare, Humana",Medicare Advantage,,,MN,,Inadequate reimbursement and rising denial rates.,,"Mayo Clinic has gone out of network with most Medicare Advantage plans from UnitedHealthcare and Humana due to challenges in contract negotiations, including rising denial rates and inadequate reimbursement.",exit,provider_payer_exit
Providence CEO calls for Medicare Advantage 'reset' amid wave of network exits,2026-01-27T16:20:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-ceo-calls-for-medicare-advantage-reset-amid-wave-of-network-exits/,3,Active Exit,MultiCare,,Medicare Advantage,,,WA,Puget Sound region,Contract negotiations with MA PPO plans.,,MultiCare has stopped contracting with any Medicare Advantage PPO plans in the Puget Sound region as part of its strategy to address contract negotiations.,exit,provider_market_exit
Providence CEO calls for Medicare Advantage 'reset' amid wave of network exits,2026-01-27T16:20:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-ceo-calls-for-medicare-advantage-reset-amid-wave-of-network-exits/,4,Active Exit,UNC Health,"Humana, WellCare, Health Care Service Corp.",Medicare Advantage,,,NC,,Contract disputes with multiple MA plans.,,"UNC Health has dropped contracts with Humana, WellCare, and Health Care Service Corp. Medicare Advantage plans due to ongoing contract disputes.",exit,provider_market_exit
Providence CEO calls for Medicare Advantage 'reset' amid wave of network exits,2026-01-27T16:20:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-ceo-calls-for-medicare-advantage-reset-amid-wave-of-network-exits/,5,Active Exit,Lehigh Valley Health Network,UnitedHealthcare,Medicare Advantage,,2026-01-26,PA,,Contract dispute.,,"Lehigh Valley Health Network went out of network with UnitedHealthcare Medicare Advantage on January 26, 2026, following a monthslong contract dispute.",exit,provider_payer_exit
UnitedHealthcare expects to lose up to 2.8 million members in 2026,2026-01-27T15:58:23-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/unitedhealthcare-projects-up-to-2-8-million-membership-decline-in-2026/,1,Planned Exit,,UnitedHealthcare,Medicare Advantage,,2026-01-01,,,Intense competition during the annual enrollment period.,Expected loss of 1.3 million to 1.4 million Medicare Advantage members.,"UnitedHealthcare is planning to exit the Medicare Advantage market due to intense competition, expecting to lose between 1.3 million and 1.4 million members in 2026.",exit,payer_market_exit
UnitedHealthcare expects to lose up to 2.8 million members in 2026,2026-01-27T15:58:23-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/unitedhealthcare-projects-up-to-2-8-million-membership-decline-in-2026/,2,Planned Exit,,UnitedHealthcare,Medicaid,,2026-01-01,,,State funding shortfalls.,"Expected contraction of Medicaid membership by 565,000 to 715,000 members.","UnitedHealthcare anticipates a contraction in its Medicaid business due to state funding shortfalls, expecting to lose between 565,000 and 715,000 members in 2026.",exit,payer_market_exit
UnitedHealthcare expects to lose up to 2.8 million members in 2026,2026-01-27T15:58:23-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/unitedhealthcare-projects-up-to-2-8-million-membership-decline-in-2026/,3,Planned Exit,,UnitedHealthcare,Commercial,ACA,2026-01-01,,,Marginal performance in the ACA exchange business.,"Projected contraction of 1.3 million to 1.4 million commercial risk-based members, with over 500,000 tied to the ACA exchange.","UnitedHealthcare is planning to exit the ACA marketplace due to marginal performance, expecting a contraction of 1.3 million to 1.4 million commercial risk-based members in 2026.",exit,payer_market_exit
Hennepin Healthcare submits notice of intervention in UCare rehabilitation,2026-01-23T15:37:49-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-healthcare-submits-notice-of-intervention-in-ucare-rehabilitation/,1,Planned Exit,,UCare,Medicaid,,2026-01-22,MN,,UCare is handing over its Medicaid and ACA businesses to Medica.,,UCare plans to exit its Medicaid and ACA businesses by transitioning members to Medica starting in 2026.,exit,payer_market_exit
Hennepin Healthcare submits notice of intervention in UCare rehabilitation,2026-01-23T15:37:49-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-healthcare-submits-notice-of-intervention-in-ucare-rehabilitation/,2,Planned Exit,,UCare,ACA,,2026-01-22,MN,,UCare is handing over its Medicaid and ACA businesses to Medica.,,UCare plans to exit its Medicaid and ACA businesses by transitioning members to Medica starting in 2026.,exit,payer_market_exit
Hennepin Healthcare submits notice of intervention in UCare rehabilitation,2026-01-23T15:37:49-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-healthcare-submits-notice-of-intervention-in-ucare-rehabilitation/,3,Planned Exit,,UCare,Medicare Advantage,,,MN,,UCare's Medicare Advantage line is discontinuing.,,"UCare's Medicare Advantage line is set to discontinue, impacting its operations in that market.",exit,payer_market_exit
Jefferson's Lehigh Valley Health Network to exit UnitedHealthcare Medicare Advantage Jan. 26 — 5 things to know,2026-01-22T09:21:15-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/jeffersons-lehigh-valley-health-network-to-exit-unitedhealthcare-medicare-advantage-jan-26-5-things-to-know/,1,Planned Exit,Lehigh Valley Health Network,UnitedHealthcare,Medicare Advantage,,2026-01-26,PA,Allentown,Contract dispute between LVHN and UnitedHealthcare.,Patients with Medicare Advantage coverage will no longer be able to access LVHN services at in-network rates.,"Lehigh Valley Health Network will exit UnitedHealthcare’s Medicare Advantage network on January 26 due to a contract dispute. Patients with Medicare Advantage will lose in-network access to LVHN services, although they may seek care out of network.",exit,provider_payer_exit
"What stays, what scales, what stops: Rural CEOs outline 2026 strategies",2026-01-21T16:28:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/what-stays-what-scales-what-stops-rural-ceos-outline-2026-strategies/,1,Active Exit,Troy Regional Medical Center,,,,,,,"Exiting a non-profitable, underperforming service line.",,"Troy Regional Medical Center made a deliberate decision to exit a non-profitable, underperforming service line as part of their strategy to right-size and redesign key services. This decision was aimed at improving financial sustainability and operational efficiency.",exit,provider_market_exit
"Providence eyes $2B turnaround with divestitures, strategic partnerships",2026-01-15T13:01:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-eyes-2b-turnaround-with-divestitures-strategic-partnerships/,1,Active Exit,Providence,,,,,"CA,WA,OR,TX",,Transfer of ownership to organizations that are well positioned to help them grow and thrive.,,Providence is repositioning its services and may co-own or transfer ownership of certain services to other organizations. This is part of a strategic turnaround plan aimed at long-term financial sustainability.,exit,provider_market_exit
"Providence eyes $2B turnaround with divestitures, strategic partnerships",2026-01-15T13:01:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-eyes-2b-turnaround-with-divestitures-strategic-partnerships/,2,Active Exit,Providence,The Ensign Group,,,2025-03-01,CA,,Sale of 10 skilled nursing facilities.,,"In March 2025, Providence sold 10 skilled nursing facilities to The Ensign Group as part of its strategic divestitures.",exit,provider_payer_exit
Nebraska Medicine opposes university's $800M plan to assume sole governance,2026-01-05T09:18:27-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/nebraska-medicine-opposes-universitys-800m-plan-to-assume-sole-governance/,1,Planned Exit,Nebraska Medicine,Clarkson Regional Health Services,,,2024-07-01,NE,Omaha,Clarkson Regional Health Services intends to resign its 50% membership interest in Nebraska Medicine.,,"Clarkson Regional Health Services plans to resign its 50% membership interest in Nebraska Medicine, effective July 2024. This move is part of a proposal by the University of Nebraska Board of Regents to assume full control of the health system.",exit,provider_payer_exit
Vitruvian Health fights HCA expansion in Tennessee,2026-01-02T09:27:53-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/vitruvian-health-fights-hca-expansion-in-tennessee/,1,Active Exit,Bradley Medical Center,UnitedHealthcare,Unknown,,,TN,Bradley County,The hospital remains out of network with UnitedHealthcare.,Some patients have limited care options.,"Bradley Medical Center is currently out of network with UnitedHealthcare, which has resulted in limited care options for some patients in Bradley County.",exit,provider_payer_exit
14 health systems dropping Medicare Advantage plans | 2026,2025-12-30T18:00:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-health-systems-dropping-medicare-advantage-plans-2026/,1,Planned Exit,MultiCare,,Medicare Advantage,,2026-01-01,WA,Puget Sound region,Contract termination with MA PPO plans.,,MultiCare will no longer contract with any MA PPO plans in 2026 in the Puget Sound region.,exit,provider_market_exit
14 health systems dropping Medicare Advantage plans | 2026,2025-12-30T18:00:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-health-systems-dropping-medicare-advantage-plans-2026/,2,Planned Exit,Mayo Clinic,"UnitedHealthcare, Humana",Medicare Advantage,,2026-01-01,MN,,,,Mayo Clinic will be out-of-network with most MA plans from UnitedHealthcare and Humana in 2026.,exit,provider_payer_exit
14 health systems dropping Medicare Advantage plans | 2026,2025-12-30T18:00:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-health-systems-dropping-medicare-advantage-plans-2026/,3,Planned Exit,Providence Clinical Network,UnitedHealthcare,Medicare Advantage,,2026-01-01,CA,,,,Providence Clinical Network will be out of network with UnitedHealthcare MA in 2026.,exit,provider_payer_exit
14 health systems dropping Medicare Advantage plans | 2026,2025-12-30T18:00:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-health-systems-dropping-medicare-advantage-plans-2026/,4,Planned Exit,Mount Sinai,Anthem,Medicare Advantage,,2026-01-01,NY,,,,Mount Sinai will be out of network with Anthem MA in 2026.,exit,provider_payer_exit
14 health systems dropping Medicare Advantage plans | 2026,2025-12-30T18:00:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-health-systems-dropping-medicare-advantage-plans-2026/,5,Planned Exit,UNC Health,"Humana, WellCare, Health Care Service Corp.",Medicare Advantage,,2026-01-01,NC,,,,"UNC Health will go out of network with Humana, WellCare, and Health Care Service Corp. MA plans in 2026.",exit,provider_payer_exit
