article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
"Oregon specialty hospital to close, lay off 310",2025-12-02T09:15:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/oregon-specialty-hospital-to-close-lay-off-310/,1,Planned Closure,Vibra Specialty Hospital of Portland,,,,2026-02-01,OR,,Financial challenges that have made it unsustainable to continue operations.,310 employees laid off.,"Vibra Specialty Hospital of Portland will close on or around Feb. 1, 2026, due to financial challenges. The closure will result in the layoff of 310 employees, who have been notified of their separation at least 60 days in advance.",closure,hospital_closure
"Missouri hospital to close clinics, cut services",2025-12-02T08:51:28-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/missouri-hospital-to-close-clinics-cut-services/,1,Planned Closure,Fitzgibbon Hospital,,,,2025-12-31,MO,"Marshall, Mo.; Brunswick, Mo.; Fayette, Mo.",Cost-cutting measures due to economic headwinds and operating losses.,Affecting around 30 employees.,"Fitzgibbon Hospital plans to close two primary care clinics, an inpatient behavioral health unit, and Fitzgibbon Home Health and Hospice services effective December 31, 2025, due to significant financial losses and the need for cost reductions.",closure,office_closure
Insight Ohio hospital suspends operations again,2025-11-26T10:15:29-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/insight-ohio-hospital-suspends-operations-again/,1,Active Closure,Insight Hospital and Medical Center Trumbull,,,,,OH,"Warren, Ohio",Suspended operations amid the Ohio Department of Health’s move to revoke its state license due to violations.,,Insight Hospital and Medical Center Trumbull has suspended operations and is not admitting new patients due to the Ohio Department of Health's proposal to revoke its state license. The hospital is facing regulatory hurdles and has not restored its Medicare agreement following a termination.,closure,hospital_closure
"Premier's Contigo Health to shutter, lay off 175",2025-11-25T15:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/premiers-contigo-health-to-shutter-lay-off-175/,1,Planned Closure,Contigo Health,,,,2025-12-31,OH,"Hudson, Ohio",The entire Contigo business is winding down.,175 employees laid off.,"Contigo Health is closing its Hudson, Ohio facility on December 31, 2025, as the entire business winds down. This closure will result in the layoff of 175 employees, with the majority being remote workers.",closure,facility_closure
US maternal care is shrinking; IU Health sees it as 'essential',2025-11-25T09:47:03-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/us-maternal-care-is-shrinking-iu-health-sees-it-as-essential/,1,Active Closure,,,,,,IN,Marion County,Maternity care capacity continues to contract.,,"There have been 28 related maternity service closures across the U.S. for the year, indicating a contraction in maternity care capacity.",closure,service_line_closure
Closed Missouri hospital to reopen as micro-hospital,2025-11-24T11:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/closed-missouri-hospital-to-reopen-as-micro-hospital/,1,Resolved,Homer G. Phillips Memorial Hospital,,,,2025-11-24,MO,St. Louis,License surrendered due to a blood supply shortage.,,Homer G. Phillips Memorial Hospital closed in mid-March after surrendering its license due to a blood supply shortage. It had been shuttered since December and is set to reopen as Archview ER & Hospital by the end of 2025.,closure,hospital_closure
California hospital at risk of closure over earthquake requirements,2025-11-24T08:51:19-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-hospital-at-risk-of-closure-over-earthquake-requirements/,1,Planned Closure,Santa Paula Hospital,,,,2030-12-31,CA,"Santa Paula, Ventura County",California’s seismic requirements for hospitals.,,"Santa Paula Hospital is at risk of closing by 2030 due to California’s seismic requirements for hospitals. The hospital is part of Ventura County Health Care Agency, which is actively seeking strategies to ensure care continues in the area.",closure,hospital_closure
Washington hospital could become state's 1st rural emergency facility,2025-11-21T14:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/washington-hospital-could-become-states-1st-rural-emergency-facility/,1,Planned Closure,Ritzville Hospital,,,,,WA,Ritzville,"Transitioning to a rural emergency hospital model, which will no longer offer inpatient or swing bed stays.",Not expected to significantly affect operations as current inpatient use averages about one patient.,"Ritzville Hospital is transitioning to a rural emergency hospital, which will stop offering inpatient and swing bed stays. This change is part of a budget plan approved for 2026 and is expected to have minimal impact on operations.",closure,facility_closure
Reopened Insight hospital’s Medicare agreement still in limbo,2025-11-21T12:35:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/reopened-insight-hospitals-medicare-agreement-still-in-limbo/,2,Active Closure,Insight Hospital and Medical Center Trumbull,,,,2025-10-14,OH,"Warren, Ohio",Financial and ongoing bankruptcy challenges.,,Insight Hospital and Medical Center Trumbull paused operations in late March due to financial issues and is in the process of reopening as of October 14.,closure,facility_closure
UofL Health hospital closes ICU,2025-11-20T16:18:20-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/uofl-health-hospital-closes-icu/,1,Active Closure,UofL Health,,,,2025-11-10,KY,Shelbyville,Low occupancy rate of the unit does not justify the ongoing expense.,,"UofL Health closed the ICU at its Shelbyville Hospital on November 10, 2025, due to decreased usage following the pandemic. The closure is justified by the low occupancy rate and the availability of similar care at nearby hospitals.",closure,unit_closure
Illinois OKs Ascension hospital OB unit closure,2025-11-20T09:53:33-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/illinois-oks-ascension-hospital-ob-unit-closure/,1,Planned Closure,Ascension Alexian Brothers,,,,,IL,"Elk Grove Village, Hoffman Estates",Lower patient volumes and a desire to reduce service duplication.,Concerns about delayed care and safety risks for mothers traveling farther for delivery.,"Ascension Alexian Brothers will transition inpatient obstetrics services to Ascension St. Alexius Women and Children’s Hospital. The closure was approved on Nov. 18, with no specific date provided, and is part of a trend to consolidate maternity care.",closure,unit_closure
Orlando Health begins 2nd phase of hospital demolition,2025-11-20T09:03:10-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/orlando-health-begins-2nd-phase-of-hospital-demolition/,1,Resolved,Orlando Health,,,,2025-04-22,FL,"Rockledge, FL",The hospital was closed as part of a demolition plan.,,"Rockledge Hospital, operated by Orlando Health, was closed on April 22, 2025, as part of a demolition plan. The demolition is set to begin on December 1 and will last around five months.",closure,hospital_closure
OSF HealthCare gets OK to consolidate some obstetrics services,2025-11-19T09:30:33-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/osf-healthcare-gets-ok-to-consolidate-some-obstetrics-services/,1,Planned Closure,OSF Saint Elizabeth Medical Center,,,,,IL,"Ottawa, Ill.",Consolidation of inpatient obstetrics and intensive care unit services.,,OSF Saint Elizabeth Medical Center will consolidate its inpatient obstetrics and ICU services with those at OSF Saint Elizabeth – Peru. This planned closure aims to enhance care and improve access for patients.,closure,service_line_closure
"Providence to cut 446 roles in Oregon, Washington",2025-11-19T09:13:17-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-to-cut-446-roles-in-oregon-washington/,1,Planned Closure,Providence,,,,2025-11-24,OR,Seattle,Closure of the Seattle-based Credena Health Pharmacy.,Not specified.,"Providence plans to close its Seattle-based Credena Health Pharmacy on November 24, 2025. This decision is part of a broader effort to address economic pressures facing the healthcare system.",closure,office_closure
"Providence to cut 446 roles in Oregon, Washington",2025-11-19T09:13:17-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-to-cut-446-roles-in-oregon-washington/,2,Planned Closure,Providence,,,,2025-12-12,OR,Issaquah,Closure of the Issaquah-based Swedish Weight Loss Outpatient Clinic.,Not specified.,"The Issaquah-based Swedish Weight Loss Outpatient Clinic is set to close on December 12, 2025, as part of Providence's restructuring efforts.",closure,office_closure
"Providence to cut 446 roles in Oregon, Washington",2025-11-19T09:13:17-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-to-cut-446-roles-in-oregon-washington/,3,Planned Closure,Providence,,,,2025-11-07,OR,Portland,Closure of four occupational medicine and workplace health service clinics.,Affected 43 employees.,"Providence announced the closure of four Portland, Oregon-based occupational medicine and workplace health service clinics on November 7, 2025, impacting 43 employees.",closure,office_closure
Medicaid cuts to hit urban safety-net hospitals hardest: Report,2025-11-18T15:38:07-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/medicaid-cuts-to-hit-urban-safety-net-hospitals-hardest-report/,1,Planned Closure,,,,,,,urban areas,Thinner budgets due to Medicaid cuts,"Potential increase in uninsured individuals by 7.5 million within a decade, leading to more uncompensated care.","Urban hospitals are predicted to face closure due to thinner budgets resulting from Medicaid cuts. The legislation is expected to burden hospitals with significant uncompensated care costs, impacting the healthcare landscape in urban areas.",closure,hospital_closure
"'Not a single magic bullet:' Why some hospitals thrive, others stand still",2025-11-17T14:44:32-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/not-a-single-magic-bullet-why-some-hospitals-thrive-others-stand-still/,1,Active Closure,,,,,,,rural areas,Financial performance issues and low birth rates.,,"The article mentions that there have been 28 maternity service closures in 2025, particularly in rural areas where low birth rates make these services unprofitable.",closure,service_line_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,1,Active Closure,Hudson Regional Health,,,,2025-11-01,NJ,Jersey City,Failed to secure critical funding from the state.,,Hudson Regional Health closed its Heights University Hospital in Jersey City in mid-November after failing to secure critical funding from the state.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,2,Planned Closure,Kell West Regional Hospital,,,,,TX,Wichita Falls,"Evolving healthcare landscape, including cost of infrastructure needs and care.",,Kell West Regional Hospital in Wichita Falls will close in the coming weeks after more than 25 years of service due to the evolving healthcare landscape.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,3,Planned Closure,Landmark Hospital of Cape Girardeau,,,,,MO,Cape Girardeau,Unsustainable healthcare market conditions.,,Landmark Hospital of Cape Girardeau has shared plans to close in the coming weeks over unsustainable healthcare market conditions.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,4,Active Closure,Banner Health,,,,2023-11-05,CO,Loveland,Facility is converted to a specialty hospital.,,Banner Health ended emergency services at its Loveland-based Banner McKee Medical Center on Nov. 5 as the facility is converted to a specialty hospital.,closure,service_line_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,5,Active Closure,Glenn Medical Center,,,,2023-10-21,CA,Willows,CMS’ plan to revoke its critical access hospital designation.,,Glenn Medical Center closed its emergency department and hospital following CMS’ plan to revoke its critical access hospital designation on Oct. 21.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,6,Active Closure,Weiss Memorial Hospital,,,,2023-08-08,IL,Chicago,CMS’ plan to terminate its Medicare program participation.,,Weiss Memorial Hospital closed on the morning of Aug. 8 amid CMS’ plan to terminate its Medicare program participation on Aug. 9.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,7,Active Closure,Javon Bea Hospital-Rockton,,,,,IL,Rockford,Temporary suspension of services filed with the state.,,Javon Bea Hospital-Rockton has closed after Rockford-based Mercyhealth filed a temporary suspension of services with the state.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,8,Active Closure,St. Luke’s Des Peres Hospital,,,,2023-08-01,MO,St. Louis,Low utilization and increased financial pressures.,,St. Luke’s Des Peres Hospital closed on Aug. 1 due to low utilization and increased financial pressures.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,9,Active Closure,Stilwell Memorial Hospital,,,,2023-06-27,OK,Stilwell,,,"Stilwell Memorial Hospital and its clinic shuttered, with the hospital closing on June 27.",closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,10,Active Closure,Lawrence Medical Center,,,,2023-05-23,AL,Moulton,Permanent closure of the emergency department.,,Lawrence Medical Center permanently shuttered its emergency department on May 23.,closure,service_line_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,11,Active Closure,Crozer Health,,,,2023-05-02,PA,Upland,,"2,651 employees laid off.","Crozer Health closed its Crozer-Chester Medical Center in Upland on May 2, resulting in 2,651 employees being laid off.",closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,12,Active Closure,Crozer Health,,,,2023-04-26,PA,Ridley Park,,,Crozer Health closed its Taylor Hospital in Ridley Park on April 26.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,13,Active Closure,Mid Coast Medical Center Trinity,,,,2023-04-25,TX,,Attempting to secure facility long-term sustainability and financial stability.,,Mid Coast Medical Center Trinity closed on April 25 after attempting to secure facility long-term sustainability and financial stability for months.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,14,Active Closure,Heritage Valley Kennedy Hospital,,,,2023-06-30,PA,Kennedy Township,Reduced insurance reimbursements and declining patient volume.,,Heritage Valley Kennedy Hospital closed on June 30 due to reduced insurance reimbursements and declining patient volume.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,15,Active Closure,East Ohio Regional Hospital,,,,2023-03-20,OH,Martins Ferry,,,East Ohio Regional Hospital closed on March 20.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,16,Active Closure,Homer G. Phillips Memorial Hospital,,,,2023-03-17,MO,,Voluntarily surrendered its hospital license.,,Homer G. Phillips Memorial Hospital’s board of directors voluntarily surrendered its hospital license on March 17 and closed.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,17,Active Closure,Northern Light Health,,,,2023-05-27,ME,Waterville,,,Northern Light Health closed Northern Light Inland Hospital in Waterville and its associated services and clinics on May 27.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,18,Active Closure,Ascension St. Elizabeth,,,,2023-02-15,IL,Chicago,Acquisition by Prime Healthcare.,,Ascension St. Elizabeth in Chicago closed in mid-February prior to Prime Healthcare’s acquisition of it and eight other St. Louis-based Ascension hospitals in Illinois.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,19,Active Closure,Mount Sinai’s Beth Israel,,,,2023-04-09,NY,New York City,Legal back and forth with the Community Coalition to Save Beth Israel Hospital.,,Mount Sinai’s Beth Israel closed on April 9 after months of legal back and forth with the Community Coalition to Save Beth Israel Hospital to keep the hospital open.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,20,Active Closure,Christus Health,,,,2023-04-25,TX,San Antonio,Consolidate care to nearby system hospitals.,,"Christus Health shuttered its Christus Santa Rosa Hospital-Medical Center in San Antonio on April 25, consolidating care to nearby system hospitals.",closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,21,Active Closure,United Medical Center,,,,2023-04-15,DC,,Laid off 485 employees.,485 employees laid off.,United Medical Center closed on April 15 and laid off 485 employees.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,22,Active Closure,Orlando Health,,,,2023-04-22,FL,,,,Orlando Health shuttered Rockledge Hospital and four hospital-based outpatient departments on April 22.,closure,hospital_closure
23 hospital closures in 2025,2025-11-17T12:26:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-2025/,23,Active Closure,Valley Community Hospital,,,,2023-01-08,OK,Pauls Valley,,,Valley Community Hospital closed on Jan. 8. The 43-bed facility had reopened in 2021 after shuttering for three years.,closure,hospital_closure
"New Jersey hospital closes, ER services remain",2025-11-17T12:18:10-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-jersey-hospital-files-closure-plan/,1,Active Closure,Heights University Hospital,,,,,NJ,Jersey City,Failed to secure critical funding from the state.,Impact on around 120 employees.,"Heights University Hospital in Jersey City has closed its acute care services due to a lack of critical funding. The closure will impact approximately 120 employees, although the emergency department remains operational 24/7.",closure,hospital_closure
Northwell cuts few roles systemwide,2025-11-17T08:28:12-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/northwell-cuts-few-roles-systemwide/,1,Active Closure,Lenox Hill Hospital,,,,,NY,New York City,Plans to eliminate 18 emergency medical services positions and shut down three 911 units.,,Lenox Hill Hospital announced plans to eliminate 18 emergency medical services positions and shut down three 911 units. This decision is part of broader adjustments within the hospital's operations.,closure,unit_closure
"Alabama hospital to end inpatient services, lay off 90",2025-11-13T16:25:48-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/alabama-hospital-to-end-inpatient-services-lay-off-90/,1,Planned Closure,Regional Medical Center of Central Alabama,,,,,AL,Greenville,Transitioning to a rural emergency hospital,Layoff of around 90 employees,Regional Medical Center of Central Alabama plans to end inpatient services as part of its transition to a rural emergency hospital. This decision was made to adapt to financial challenges and maintain essential healthcare services in the community. The hospital will file the necessary application with the state health planning and development agency.,closure,unit_closure
Virginia hospital to end obstetrics services,2025-11-13T08:30:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/virginia-hospital-to-end-obstetrics-services/,1,Planned Closure,Centra Southside Community Hospital,,,,2025-12-19,VA,"Farmville, Va.","Decline in patient volume and deliveries, difficulty in recruiting and retaining providers.",Fewer than 275 deliveries in the last few years.,"Centra Health plans to close the labor and delivery unit and OB-GYN surgical services at its Centra Southside Community Hospital in Farmville, Va., on Dec. 19 due to a decline in patient volume and challenges in provider recruitment.",closure,service_line_closure
Agreement keeps 2 Rhode Island hospitals open through November,2025-11-12T08:45:49-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/agreement-keeps-2-rhode-island-hospitals-open-through-november/,1,Planned Closure,Our Lady of Fatima Hospital,,,,2025-11-30,RI,North Providence,Bankruptcy and ongoing losses.,,Our Lady of Fatima Hospital is facing a planned closure due to bankruptcy and ongoing financial losses. An agreement has been reached to keep the hospital open through the end of November while alternative buyers are considered.,closure,hospital_closure
Agreement keeps 2 Rhode Island hospitals open through November,2025-11-12T08:45:49-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/agreement-keeps-2-rhode-island-hospitals-open-through-november/,2,Planned Closure,Roger Williams Medical Center,,,,2025-11-30,RI,Providence,Bankruptcy and ongoing losses.,,Roger Williams Medical Center is also facing a planned closure due to bankruptcy and ongoing financial losses. An agreement has been reached to keep the hospital open through the end of November while alternative buyers are considered.,closure,hospital_closure
Connecticut Children's to close satellite unit at Trinity hospital,2025-11-12T08:43:48-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/connecitcut-childrens-to-close-satellite-unit-at-trinity-hospital/,1,Planned Closure,Connecticut Children's,,,,,CT,Waterbury,"Staffing shortages, low volumes, and financial challenges.",Average of one or two patients per day in the unit.,"Connecticut Children's plans to close an inpatient unit at St. Mary’s Hospital in Waterbury due to staffing shortages, low patient volumes, and financial challenges. The closure is part of a strategy to ensure operational stability and maintain high-quality pediatric care.",closure,unit_closure
MetroHealth CEO calls for reversal of proposed funding cuts,2025-11-11T11:32:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/metrohealth-ceo-calls-for-reversal-of-proposed-cuts/,1,Planned Closure,Cleveland Heights Medical Center,,,,2025-12-31,OH,Cleveland Heights,,,"The psychiatric emergency department at the Cleveland Heights Medical Center is planned to close by December 31, 2025.",closure,unit_closure
MetroHealth CEO calls for reversal of proposed funding cuts,2025-11-11T11:32:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/metrohealth-ceo-calls-for-reversal-of-proposed-cuts/,2,Active Closure,MetroHealth,,,,,OH,,,,MetroHealth closed six outpatient locations in October 2025.,closure,office_closure
Washington hospital at risk of closure,2025-11-10T16:41:10-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/washington-hospital-faces-closure/,1,Planned Closure,East Adams Rural Healthcare,,,,2025-01-07,WA,Ritzville,Severe financial difficulties leading to potential bankruptcy.,108 employees potentially facing layoffs.,"East Adams Rural Healthcare's Ritzville Hospital is at risk of closure due to severe financial difficulties, with a WARN notice filed for 108 employees effective January 7. The hospital has sustained significant losses and is exploring solutions to avoid permanent layoffs.",closure,hospital_closure
"Tower Health to lay off 350, reduce services",2025-11-07T15:38:53-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/tower-health-to-cut-350-employees-reduce-services/,1,Planned Closure,Pottstown Hospital,,,,2025-01-15,PA,"Pottstown, West Reading",Reduction of services as part of operational changes.,Explicit member impact not mentioned.,"Pottstown Hospital will close its intensive care unit, medical and surgical step down unit, and endoscopy center in mid-January 2025 as part of service reductions.",closure,unit_closure
"Iowa hospital to end home health, hospice services",2025-11-07T12:15:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/iowa-hospital-to-end-home-health-hospice-services/,1,Planned Closure,Horn Memorial Hospital,,,,2025-12-12,IA,Ida Grove,"Operational challenges, declining patient utilization, rising costs, regulatory requirements, local competition, and reduced reimbursements.",Patients are being transferred to other area providers.,"Horn Memorial Hospital in Ida Grove, Iowa, plans to discontinue its home health and hospice services effective December 12. The decision is due to operational challenges and declining patient utilization, among other factors. Existing patients are being transferred to other providers to ensure uninterrupted care.",closure,service_line_closure
"Allina to consolidate obstetrics services, close Minnesota birth center",2025-11-07T09:04:35-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/allina-to-consolidate-obstetrics-services-close-minnesota-birth-center/,1,Planned Closure,Faribault Medical Center,,,,2025-12-01,MN,"Faribault, Owatonna",Consolidation of labor and delivery services.,,"Allina Health will close the birth center at Faribault Medical Center on December 1, 2025, as part of a consolidation of labor and delivery services in southern Minnesota. This decision follows the end of on-call OB-GYN physician services at Owatonna Hospital.",closure,facility_closure
"Allina to consolidate obstetrics services, close Minnesota birth center",2025-11-07T09:04:35-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/allina-to-consolidate-obstetrics-services-close-minnesota-birth-center/,2,Planned Closure,Faribault Medical Center,,,,2026-05-07,MN,Faribault,Low volumes of pediatric admissions.,,"Allina Health plans to end pediatric admissions at Faribault Medical Center on May 7, 2026, due to low volumes, with pediatric admissions continuing at Owatonna Hospital.",closure,unit_closure
"Allina to consolidate obstetrics services, close Minnesota birth center",2025-11-07T09:04:35-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/allina-to-consolidate-obstetrics-services-close-minnesota-birth-center/,3,Planned Closure,Faribault Medical Center,,,,2025-12-01,MN,Faribault,Anesthesia staffing limits.,,"Emergency surgical coverage in Faribault will no longer be available on evenings and weekends beginning December 1, 2025, due to anesthesia staffing limits, requiring patients needing urgent procedures during those hours to be transferred.",closure,service_line_closure
Vandalia Health hospital transitions to critical access status,2025-11-06T16:15:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/vandalia-health-hospital-transitions-to-critical-access-status/,1,Planned Closure,Greenbrier Valley Medical Center,,,,2026-04-01,WV,"Fairlea, West Virginia",Transitioning to critical access hospital status and aligning with census trends.,Limited number of employees affected; some may transfer to different units or offices.,Greenbrier Valley Medical Center will end inpatient pediatrics and obstetrics delivery services after April 2026 as part of its transition to critical access hospital status. This change is aimed at aligning with current census trends and improving sustainability.,closure,service_line_closure
2 options for Alabama hospital: Come up with funds or close,2025-11-06T12:07:17-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-options-for-alabama-hospital-come-up-with-funds-or-close/,1,Planned Closure,Jackson Hospital,,,,2025-12-31,AL,Montgomery,The hospital is facing a $106 million funding gap and needs to present a closure plan by the end of 2025.,,"Jackson Hospital in Montgomery, Alabama, is at risk of closure due to financial difficulties. A bankruptcy judge has mandated that the hospital either present a viable restructuring plan or a closure plan by the end of 2025.",closure,hospital_closure
Shutdown enters 5th week: 5 updates,2025-11-03T09:05:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/shutdown-enters-5th-week-5-updates/,1,Active Closure,,,,,,,,Government shutdown affecting hospital-at-home programs.,More than half of healthcare organizations permanently or temporarily shutting down the service.,"Ninety-two percent of hospital-at-home programs have been affected by the government shutdown, with more than half of healthcare organizations permanently or temporarily shutting down the service.",closure,other_closure
When the System Fails Its Smallest Patients,2025-11-02T13:35:43-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/when-the-system-fails-its-smallest-patients/,1,Active Closure,,,,,,,,Financial pressure and Medicaid shortfalls leading to the closure of pediatric inpatient units.,Nearly 30 percent of pediatric inpatient units closed between 2008 and 2022.,"Between 2008 and 2022, U.S. hospitals closed nearly 30 percent of pediatric inpatient units due to financial pressures and Medicaid shortfalls. This has resulted in a loss of shared capacity that once sustained rare and complex care.",closure,unit_closure
"New Jersey hospital at risk of closure without state funding by Nov. 10, CEO says",2025-10-30T11:12:37-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-jersey-hospital-at-risk-of-closure-without-state-funding-by-nov-10-ceo-says/,1,Planned Closure,Heights University Hospital,,,,2025-11-10,NJ,"Jersey City, Hoboken, Bayonne, Secaucus",Lack of state funding to cover operational losses.,65% of patients have limited or no insurance; potential loss of services for the underserved population.,"Heights University Hospital is at risk of closure without at least $18 million in state funding by Nov. 10. The hospital has implemented a financial stabilization plan but continues to face significant losses, jeopardizing its operations and the health of the entire Hudson Regional network.",closure,hospital_closure
Vermont hospital to end pediatric inpatient care,2025-10-30T09:19:29-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/vermont-hospital-to-end-pediatric-inpatient-care/,1,Planned Closure,Rutland Regional Medical Center,,,,2025-12-21,VT,,Nationwide decline in the number of children requiring hospital stays longer than 24 hours.,,"Rutland Regional Medical Center is closing its five licensed pediatric beds within the Women’s and Children’s Unit, effective December 21. This decision is part of a broader transition in service delivery due to a decline in pediatric hospital stays.",closure,unit_closure
